"func","method","MSE_mean","MSE_sd","NLPD_mean","NLPD_sd","Coverage_mean","Coverage_sd","Width_mean","Width_sd","Time_mean","Time_sd"
"cosh","AGP",1.67912739939494,0.0589110003793118,6.2836347608223,0.738034692425641,0.4804,0.0693108938046538,1.08425426088193,0.0896862279266442,0.110400000000045,0.0659848467453254
"parabola","AGP",0.00598200672875436,0.00303328237867393,-1.0198030816843,0.159431365606523,0.9868,0.0337540121072049,0.461106895176476,0.0172110589873288,0.101999999999971,0.0175594229212952
"stepwise_convex","AGP",0.0259187487273029,0.0158912772943232,-0.416943498123866,0.300513404813991,0.9504,0.0908056532748191,0.698990164082241,0.0586041828101665,0.131599999999962,0.0188591268796595
"cosh","BSAM",0.0690033832176023,0.034502384596419,-0.153456486750939,0.769670312750313,0.866,0.0633113997107419,0.316413383386706,0.0233784179469928,21.758,1.82198838269264
"parabola","BSAM",0.00802288249554315,0.00426951293181245,-1.04335417389947,0.269296622431531,0.9468,0.0752617654146734,0.360028980384867,0.0231480776591512,21.052,0.606595691819087
"stepwise_convex","BSAM",0.0553048290970148,0.0247810349449164,0.0633567334752048,0.422217747176852,0.84,0.0972967967955095,0.664033164834149,0.0586661045105076,20.0472000000001,0.556570750219699
"cosh","GP",0.0204719456912665,0.00990582553036563,-0.403993106050917,0.137632910475238,0.9908,0.00862167810425172,0.911677351024019,0.109758921064646,0.0488000000001193,0.0161554944215188
"parabola","GP",0.0111077751957894,0.00695420564427488,-0.202749978016921,0.0870960134624287,1,0,1.20800998977843,0.111110900328538,0.0244000000000233,0.00960902353695192
"stepwise_convex","GP",0.0434676646661969,0.0171980969168326,0.353223547959428,0.0998079231914938,1,0,2.07234388558082,0.235810198377079,0.0203999999999723,0.00888819441740386
"cosh","SCAM",0.00902745234837579,0.00477440934170372,-1.19416573757945,0.441521337933491,0.892,0.117437926866352,0.265368196735488,0.027768556861999,1.52319999999992,0.318560826216935
"parabola","SCAM",0.00616737006362047,0.00371611921287958,-1.09723608784479,0.499841012660974,0.9108,0.145083883782222,0.269445693679328,0.0261010920621754,0.0531999999999971,0.0299610858727231
"stepwise_convex","SCAM",0.060426518709621,0.0333120674342433,-0.0938780263612612,0.446125016552786,0.8968,0.100652868811574,0.748048904963721,0.0757171218619351,0.147999999999956,0.0782091213776493
