"run","MSE","NLPD","Coverage","Width","Time"
1,0.0151319745442864,-0.649838095608094,0.96,0.547622924593853,25.5700000000001
2,0.027585903714351,-0.419632382109107,0.9,0.514164478400226,26.22
3,0.00851208621624189,-0.759855667041926,1,0.542124714435977,22.6
4,0.00557587764336328,-0.889181336516428,1,0.564143524075505,22.67
5,0.00780628457815944,-0.937837186099579,1,0.540352741022246,22.61
6,0.0144843987908025,-0.759230749304556,1,0.452619344706519,22.7
7,0.0123435847559971,-0.898145573272948,1,0.509139201357824,24.0799999999999
8,0.0131606141026245,-0.651611478348847,1,0.593552726878673,25.5
9,0.0117086825978758,-0.818225529632386,1,0.520490373452648,25.15
10,0.0248092869991861,-0.646162981759293,0.93,0.507787854796478,22.72
11,0.0167870633778529,-0.76221369477144,0.92,0.448456634991093,21.9300000000001
12,0.0371423610628198,-0.0272627136356347,0.8,0.436570470937559,24.5699999999999
13,0.0144379434347703,-0.716714085911177,1,0.510566602550865,19.8099999999999
14,0.00601879947031323,-0.817379203863463,1,0.559269575094513,20.14
15,0.018170909216662,-0.424068391836563,0.93,0.564629443998699,20.2599999999999
16,0.0117829548874412,-0.839315817745684,0.97,0.510913416028699,20.1100000000001
17,0.00403485476071656,-0.859216873609518,1,0.630257107075711,19.8
18,0.0135079784982012,-0.791849420658494,0.96,0.52843671363222,20.0799999999999
19,0.00870514975989665,-0.870208160887078,1,0.58494637383954,19.6899999999998
20,0.00821978461179886,-0.721352423783881,1,0.689237100499874,20.47
21,0.0115183007060424,-0.865532411002223,1,0.506995968681155,20.22
22,0.0396814152107695,-0.167216430118396,0.92,0.516432302964488,19.54
23,0.0402834450952068,-0.105257120152469,0.77,0.494915540493974,19.55
24,0.00157401399664078,-0.985161267005256,1,0.579114763355608,19.75
25,0.0286559061689176,-0.43658752287313,0.96,0.519172792899365,19.6100000000001
